,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1
2,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1
3,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
4,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1
5,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1
6,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1
7,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1
8,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0
9,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1
10,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1
11,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1
12,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1
13,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1
14,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0
15,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1
16,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
17,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0
18,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1
19,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1
20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
